No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperture Type,Reference
33,100 microns (COBE),200200.0,3000.0,3000.0,Jy,3000000053248.0,200200.0,3000.0,3000.0,,,6.0060001066025e+17,9000000159744000.0,9000000159744000.0,,,COBE,DIRBE,100.0,microns,flux integrated from map or image,2010A&A...519A..67I
34,100 microns (PACS),160000.0,20000.0,20000.0,Jy,3000000053248.0,160000.0,20000.0,20000.0,,,4.8000000851968e+17,6.000000106496e+16,6.000000106496e+16,,,Herschel,PACS,100.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
35,100 microns (IRAS),184686.69,15.0,15.0,Jy,2997999890000.0,184687.0,27703.0,27703.0,,,5.5369160568443e+17,8.305359095267e+16,8.305359095267e+16,,,IRAS,Survey array,100.0,microns,flux integrated from map or image,1988ApJS...68...91R
36,140 microns (COBE),251100.0,4500.0,4500.0,Jy,2139999961088.0,251100.0,4500.0,4500.0,,,5.37353990229197e+17,9629999824896000.0,9629999824896000.0,,,COBE,DIRBE,140.0,microns,flux integrated from map or image,2010A&A...519A..67I
37,160 microns (MIPS),260000.0,40000.0,40000.0,Jy,1920000065536.0,260000.0,40000.0,40000.0,,,4.9920001703936e+17,7.680000262144e+16,7.680000262144e+16,,,Spitzer,MIPS,155.9,microns,flux in fixed aperture,2009ApJ...703..517D
38,160 microns (MIPS),265000.0,32000.0,32000.0,Jy,1920000065536.0,265000.0,32000.0,32000.0,,,5.0880001736704e+17,6.1440002097152e+16,6.1440002097152e+16,,,Spitzer,MIPS,155.9,microns,flux in fixed aperture,2010ApJ...716..453L
39,160 microns (PACS),270000.0,40000.0,40000.0,Jy,1870000029696.0,270000.0,40000.0,40000.0,,,5.0490000801792e+17,7.480000118784e+16,7.480000118784e+16,,,Herschel,PACS,160.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
40,240 microns (COBE),153000.0,3000.0,3000.0,Jy,1249999978496.0,153000.0,3000.0,3000.0,,,1.91249996709888e+17,3749999935488000.0,3749999935488000.0,,,COBE,DIRBE,240.0,microns,flux integrated from map or image,2010A&A...519A..67I
41,250 microns (SPIRE),140000.0,10000.0,10000.0,Jy,1199999942656.0,140000.0,10000.0,10000.0,,,1.6799999197184e+17,1.199999942656e+16,1.199999942656e+16,,,Herschel,SPIRE,250.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
42,350 microns (SPIRE),69000.0,7000.0,7000.0,Jy,856999985152.0,69000.0,7000.0,7000.0,,,5.9132998975488e+16,5998999896064000.0,5998999896064000.0,,,Herschel,SPIRE,350.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
43,500 microns (SPIRE),30000.0,3000.0,3000.0,Jy,599999971328.0,30000.0,3000.0,3000.0,,,1.799999913984e+16,1799999913984000.0,1799999913984000.0,,,Herschel,SPIRE,500.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
44,93 GHz (WMAP),366.0,65.0,65.0,Jy,92999999488.0,366.0,65.0,65.0,,,34037999812608.0,6044999966720.0,6044999966720.0,,,WMAP,?,93.0,GHz,flux integrated from map or image,2010A&A...519A..67I
45,61 GHz (WMAP),205.0,32.0,32.0,Jy,60999999488.0,205.0,32.0,32.0,,,12504999895040.0,1951999983616.0,1951999983616.0,,,WMAP,?,61.0,GHz,flux integrated from map or image,2010A&A...519A..67I
46,41 GHz (WMAP),165.0,25.0,25.0,Jy,41000001536.0,165.0,25.0,25.0,,,6765000253440.0,1025000038400.0,1025000038400.0,,,WMAP,?,41.0,GHz,flux integrated from map or image,2010A&A...519A..67I
47,31 GHz (WMAP),159.0,25.0,25.0,Jy,31000000512.0,159.0,25.0,25.0,,,4929000081408.0,775000012800.0,775000012800.0,,,WMAP,Radiometer,31.0,GHz,flux integrated from map or image,2010A&A...519A..67I
48,23 GHz (WMAP),160.0,25.0,25.0,Jy,23000000512.0,160.0,25.0,25.0,,,3680000081920.0,575000012800.0,575000012800.0,,,WMAP,?,23.0,GHz,flux integrated from map or image,2010A&A...519A..67I
49,1.4 GHz (ATCA),426.0,,,Jy,1380000000.0,426.0,,,,,587880000000.0,,,,,ATCA,"750A, 750B, 750C, 750D configurations",1.384,GHz,total flux; beam filling or dilution corrected,2007MNRAS.382..543H
